,Afghanistan,Albania,Algeria,Argentina,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Belgium-Luxembourg,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Brazil,Bulgaria,Canada,Chile,China,"China, mainland","China, Taiwan Province of",Colombia,Croatia,Cyprus,Czechia,Czechoslovakia,Democratic People's Republic of Korea,Denmark,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Georgia,Germany,Greece,Grenada,Guatemala,Honduras,Hungary,India,Iran (Islamic Republic of),Iraq,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malta,Mexico,Montenegro,Morocco,Nepal,Netherlands,New Zealand,North Macedonia,Norway,Pakistan,Palestine,Paraguay,Peru,Poland,Portugal,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Saint Vincent and the Grenadines,Serbia,Serbia and Montenegro,Slovakia,Slovenia,South Africa,Spain,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tunisia,Turkey,Turkmenistan,Ukraine,United Kingdom of Great Britain and Northern Ireland,United States of America,Uruguay,USSR,Uzbekistan,Yemen,Yugoslav SFR,Zimbabwe,World,Africa,Eastern Africa,Northern Africa,Southern Africa,Americas,Northern America,Central America,Caribbean,South America,Asia,Central Asia,Eastern Asia,Southern Asia,Western Asia,Europe,Eastern Europe,Northern Europe,Southern Europe,Western Europe,Oceania,Australia and New Zealand,European Union (28),European Union (27),Least Developed Countries,Land Locked Developing Countries,Small Island Developing States,Low Income Food Deficit Countries,Net Food Importing Developing Countries
1961,15100.0,10004.0,15400.0,415000.0,,295034.0,456000.0,,,,132000.0,2000.0,16000.0,,19962.0,272703.0,337226.0,99000.0,167000.0,167000.0,,,,1422.0,,117138.0,90000.0,113295.0,2000.0,3000.0,,,35000.0,2142000.0,,851000.0,196000.0,520.0,3000.0,,349500.0,185000.0,65000.0,20000.0,29000.0,30100.0,2167000.0,955400.0,3000.0,,,,,85000.0,800.0,,,9000.0,,100.0,79723.0,,4000.0,,292000.0,74400.0,,48000.0,11500.0,,1000.0,71000.0,285000.0,70000.0,79870.0,,,146000.0,,10.0,,,,,95844.0,385500.0,100000.0,269800.0,10000.0,,7100.0,283000.0,,,339000.0,2584000.0,23000.0,1744000.0,,,343000.0,1200.0,17053651.0,136344.0,10200.0,30300.0,95844.0,3651441.0,2921226.0,82723.0,530.0,646962.0,2003392.0,,1292270.0,278600.0,432522.0,10893040.0,2914341.0,664295.0,3171604.0,4142800.0,369434.0,369434.0,8362520.0,8023520.0,26100.0,35300.0,530.0,310300.0,126230.0
1962,15100.0,8039.0,14000.0,397000.0,,326282.0,431000.0,,,,145000.0,2100.0,16000.0,,22600.0,350612.0,404610.0,101000.0,225000.0,225000.0,,,,1879.0,,130763.0,95000.0,108295.0,1920.0,5000.0,,,35000.0,5050000.0,,2059000.0,206000.0,525.0,3000.0,,314900.0,160000.0,65000.0,20000.0,31000.0,41900.0,2182000.0,1000000.0,3621.0,,,,,80000.0,700.0,,,9000.0,,100.0,95429.0,,3000.0,,226000.0,93490.0,,64000.0,8000.0,,1000.0,72000.0,160000.0,58000.0,117904.0,,,132000.0,,10.0,,,,,105931.0,274500.0,161000.0,480400.0,23000.0,,3200.0,322000.0,,,583000.0,2581000.0,23000.0,1865000.0,,,177000.0,1300.0,21694110.0,142131.0,10300.0,25900.0,105931.0,3719094.0,2985610.0,98429.0,535.0,634520.0,2180504.0,,1437904.0,250200.0,492400.0,15232609.0,2953275.0,982295.0,2905639.0,8391400.0,419772.0,419772.0,12509286.0,11926286.0,26200.0,35500.0,535.0,303400.0,121556.0
1963,15100.0,7931.0,13000.0,474000.0,,349571.0,436000.0,,,,135000.0,2200.0,16000.0,,23241.0,289695.0,470193.0,104000.0,248000.0,248000.0,,,,1905.0,,133985.0,85000.0,119798.0,2120.0,5000.0,,,18000.0,2581000.0,,2216000.0,172000.0,525.0,3300.0,,503500.0,140000.0,65000.0,22000.0,35000.0,43000.0,2336000.0,1155000.0,3225.0,,,,,75000.0,600.0,,,9000.0,,100.0,118820.0,,8000.0,,279000.0,84000.0,,49000.0,18900.0,,551.0,72000.0,377000.0,92000.0,110162.0,,,198000.0,,10.0,,,,,116240.0,480700.0,136000.0,359600.0,28000.0,,3700.0,327000.0,,,545000.0,2609000.0,23000.0,2382000.0,,,280000.0,1600.0,21009272.0,157140.0,10600.0,30300.0,116240.0,3916760.0,3079193.0,122120.0,535.0,714912.0,2339492.0,,1598162.0,241200.0,500130.0,14162309.0,3884180.0,902798.0,3368731.0,6006600.0,433571.0,433571.0,10951698.0,10406698.0,26300.0,35451.0,535.0,278700.0,137660.0
1964,18400.0,8498.0,12441.0,371000.0,,367397.0,447000.0,,,,189200.0,2250.0,16000.0,,21158.0,364126.0,409289.0,106000.0,300000.0,300000.0,,,,3251.0,,158662.0,85000.0,122615.0,1893.0,7000.0,,,45000.0,3424000.0,,1346000.0,232000.0,530.0,3450.0,,432200.0,110000.0,68000.0,22000.0,24000.0,60700.0,2381000.0,1090000.0,4986.0,,,,,125000.0,300.0,,,10000.0,,110.0,123501.0,,17199.0,,515000.0,109400.0,,56000.0,12600.0,,557.0,80000.0,840000.0,85000.0,124693.0,,,127000.0,,10.0,,,,,149158.0,321600.0,183000.0,389600.0,25000.0,,3250.0,337000.0,,,653000.0,2866000.0,23000.0,2639000.0,,,159000.0,1700.0,22231724.0,201048.0,11700.0,40190.0,149158.0,4022388.0,3275289.0,126951.0,540.0,619608.0,2388880.0,,1599693.0,211250.0,577937.0,15142611.0,4560988.0,1083615.0,3187208.0,6310800.0,476797.0,476797.0,11735102.0,11082102.0,30650.0,38907.0,540.0,250100.0,156225.0
1965,20400.0,8000.0,13151.0,544000.0,,360002.0,222000.0,,,,176000.0,2300.0,17000.0,,40386.0,299404.0,450928.0,121000.0,318000.0,318000.0,,,,6502.0,,91630.0,100000.0,125400.0,1633.0,6375.0,,,15000.0,3675000.0,,1424000.0,184000.0,530.0,3473.0,,378904.0,90000.0,75000.0,23000.0,21000.0,56900.0,2185000.0,1132000.0,4538.0,,,,,115080.0,1240.0,,,10000.0,,110.0,136238.0,,14654.0,,404000.0,102900.0,,43000.0,16100.0,,720.0,74881.0,197000.0,96000.0,166768.0,,,217000.0,,10.0,,,,,139035.0,446800.0,115000.0,255400.0,21000.0,,6650.0,362000.0,,,529000.0,2785146.0,23000.0,2716000.0,,,135000.0,1800.0,21323988.0,192905.0,11800.0,42070.0,139035.0,4198945.0,3236074.0,139711.0,540.0,822620.0,2509588.0,,1716768.0,203800.0,589020.0,13959648.0,3899938.0,848400.0,3054910.0,6156400.0,462902.0,462902.0,10717120.0,10188120.0,32700.0,42220.0,540.0,243200.0,156438.0
1966,22800.0,9000.0,11208.0,414000.0,,376878.0,366654.0,,,,212000.0,2350.0,17200.0,,23559.0,343660.0,421753.0,125000.0,500000.0,500000.0,,,,7620.0,,249213.0,100000.0,111893.0,2796.0,6145.0,,,10000.0,2796000.0,,1702000.0,219000.0,540.0,3611.0,,396490.0,97500.0,78000.0,23000.0,17000.0,65800.0,2288600.0,1059000.0,6200.0,,,,,104010.0,1214.0,,,12000.0,,225.0,139805.0,,13855.0,,345000.0,113620.0,,40565.0,20700.0,,760.0,83100.0,794000.0,86533.0,174396.0,,,233700.0,,10.0,,,,,190756.0,412200.0,117000.0,350000.0,26000.0,,5750.0,440000.0,,,370000.0,2613313.0,24473.0,2747000.0,,,214000.0,2000.0,21762455.0,242928.0,14000.0,38172.0,190756.0,3869920.0,3035066.0,143416.0,550.0,690888.0,2727376.0,,1833396.0,221350.0,672630.0,14431733.0,4764063.0,666458.0,3229558.0,5771654.0,490498.0,490498.0,10829575.0,10459575.0,37150.0,45110.0,550.0,260300.0,173450.0
1967,27600.0,10000.0,11364.0,516000.0,,369924.0,360937.0,,,,291000.0,2400.0,17200.0,,24785.0,413124.0,436644.0,129000.0,630000.0,630000.0,,,,10160.0,,182235.0,90000.0,122336.0,3257.0,5000.0,,,18000.0,3846000.0,,2732000.0,240000.0,540.0,3995.0,,674644.0,127000.0,80000.0,24000.0,16000.0,71300.0,1932000.0,1125000.0,2000.0,,,,,157021.0,1236.0,,,12000.0,,235.0,115131.0,,10000.0,,488000.0,105403.0,,49203.0,21300.0,,700.0,84894.0,537000.0,90501.0,189651.0,,,234200.0,,15.0,,,,,183294.0,378300.0,169000.0,580000.0,28000.0,,7300.0,640000.0,,,332000.0,2451881.0,26000.0,3630000.0,,,301000.0,2200.0,25370910.0,232394.0,14200.0,34900.0,183294.0,3810042.0,2888525.0,119126.0,555.0,801836.0,3225432.0,,2034651.0,258300.0,932481.0,17627715.0,5671203.0,706539.0,2952036.0,8297937.0,475327.0,475327.0,12885437.0,12553437.0,42000.0,50100.0,555.0,286800.0,173049.0
1968,27900.0,10000.0,10490.0,469600.0,,373688.0,328675.0,,,,181000.0,2450.0,17200.0,,26070.0,427062.0,400896.0,133000.0,750000.0,750000.0,,,,8128.0,,201401.0,115000.0,122416.0,3064.0,4000.0,,,20000.0,3568000.0,,1748000.0,244156.0,550.0,4500.0,,481679.0,163000.0,80000.0,20000.0,20000.0,55000.0,1932000.0,1136000.0,1500.0,,,,,162907.0,1253.0,,,4000.0,,260.0,126411.0,,14000.0,,340000.0,113200.0,,65199.0,23700.0,,600.0,64134.0,743100.0,71400.0,198711.0,,,221800.0,,15.0,,,,,212054.0,480100.0,152000.0,270000.0,25496.0,,7900.0,700000.0,,,382000.0,2470433.0,28000.0,3816000.0,,,304000.0,2300.0,24087398.0,255997.0,6300.0,37643.0,212054.0,3744473.0,2871329.0,130911.0,565.0,741668.0,3469792.0,,2199711.0,297050.0,973031.0,16130248.0,5891042.0,761615.0,3041916.0,6435675.0,486888.0,486888.0,11471776.0,11089776.0,34350.0,50450.0,565.0,337696.0,150149.0
1969,28200.0,11000.0,11877.0,436400.0,,422445.0,327690.0,,,,306000.0,2500.0,17400.0,,28864.0,460449.0,435241.0,137000.0,1000000.0,1000000.0,,,,7620.0,,237834.0,120000.0,125816.0,4546.0,4000.0,,,20000.0,3377000.0,,2913000.0,228779.0,550.0,4500.0,,818741.0,201000.0,86500.0,30000.0,22000.0,62300.0,2010000.0,1085000.0,1950.0,,,,,66547.0,1403.0,,,4000.0,,220.0,145485.0,,14000.0,,475000.0,112300.0,,53758.0,31900.0,,500.0,65776.0,654300.0,82399.0,219411.0,,,366700.0,,20.0,,,,,207502.0,464800.0,117000.0,530000.0,23196.0,,8000.0,620000.0,,,447000.0,3093302.0,30000.0,3473000.0,,,482853.0,2400.0,26778974.0,253182.0,6400.0,39280.0,207502.0,4399584.0,3528543.0,149985.0,570.0,720486.0,3586124.0,,2424411.0,350100.0,811613.0,18005339.0,6011024.0,785574.0,3280051.0,7928690.0,534745.0,534745.0,13224514.0,12777514.0,34700.0,51000.0,570.0,378796.0,160896.0
1970,27300.0,9000.0,12900.0,445000.0,,424057.0,308809.0,,,,252000.0,2550.0,17500.0,,30850.0,363126.0,405520.0,140000.0,798000.0,798000.0,,,,7518.0,,231665.0,115000.0,120625.0,4752.0,4000.0,,,23000.0,3903000.0,,1975000.0,234890.0,560.0,4600.0,,660829.0,277000.0,88500.0,35000.0,20000.0,61800.0,2062000.0,1021000.0,2200.0,,,,,74356.0,1358.0,,,4000.0,,234.0,145615.0,,14000.0,,450000.0,140413.0,,47993.0,33430.0,,424.0,77759.0,691100.0,88730.0,212041.0,,,175836.0,,40.0,,,,,222255.0,483900.0,145500.0,280000.0,17550.0,,6200.0,748000.0,,,596015.0,2901933.0,31932.0,5046000.0,,,277063.0,2500.0,27005728.0,267213.0,6500.0,38458.0,222255.0,4206485.0,3307453.0,150215.0,600.0,748217.0,3521245.0,,2146041.0,428780.0,946424.0,18446315.0,7168556.0,953133.0,3155817.0,7168809.0,564470.0,564470.0,12562112.0,11966097.0,33850.0,50274.0,600.0,443350.0,172039.0
