,Albania,Austria,Belarus,Belgium,Belgium-Luxembourg,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Czechoslovakia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Republic of Moldova,Romania,Russian Federation,Serbia,Serbia and Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom of Great Britain and Northern Ireland,USSR,Yugoslav SFR
1961,10004.0,456000.0,,,132000.0,,272703.0,,,117138.0,113295.0,,35000.0,2142000.0,851000.0,196000.0,349500.0,29000.0,2167000.0,,,,100.0,,292000.0,,48000.0,285000.0,70000.0,,146000.0,,,,,,385500.0,100000.0,269800.0,,339000.0,1744000.0,343000.0
1962,8039.0,431000.0,,,145000.0,,350612.0,,,130763.0,108295.0,,35000.0,5050000.0,2059000.0,206000.0,314900.0,31000.0,2182000.0,,,,100.0,,226000.0,,64000.0,160000.0,58000.0,,132000.0,,,,,,274500.0,161000.0,480400.0,,583000.0,1865000.0,177000.0
1963,7931.0,436000.0,,,135000.0,,289695.0,,,133985.0,119798.0,,18000.0,2581000.0,2216000.0,172000.0,503500.0,35000.0,2336000.0,,,,100.0,,279000.0,,49000.0,377000.0,92000.0,,198000.0,,,,,,480700.0,136000.0,359600.0,,545000.0,2382000.0,280000.0
1964,8498.0,447000.0,,,189200.0,,364126.0,,,158662.0,122615.0,,45000.0,3424000.0,1346000.0,232000.0,432200.0,24000.0,2381000.0,,,,110.0,,515000.0,,56000.0,840000.0,85000.0,,127000.0,,,,,,321600.0,183000.0,389600.0,,653000.0,2639000.0,159000.0
1965,8000.0,222000.0,,,176000.0,,299404.0,,,91630.0,125400.0,,15000.0,3675000.0,1424000.0,184000.0,378904.0,21000.0,2185000.0,,,,110.0,,404000.0,,43000.0,197000.0,96000.0,,217000.0,,,,,,446800.0,115000.0,255400.0,,529000.0,2716000.0,135000.0
1966,9000.0,366654.0,,,212000.0,,343660.0,,,249213.0,111893.0,,10000.0,2796000.0,1702000.0,219000.0,396490.0,17000.0,2288600.0,,,,225.0,,345000.0,,40565.0,794000.0,86533.0,,233700.0,,,,,,412200.0,117000.0,350000.0,,370000.0,2747000.0,214000.0
1967,10000.0,360937.0,,,291000.0,,413124.0,,,182235.0,122336.0,,18000.0,3846000.0,2732000.0,240000.0,674644.0,16000.0,1932000.0,,,,235.0,,488000.0,,49203.0,537000.0,90501.0,,234200.0,,,,,,378300.0,169000.0,580000.0,,332000.0,3630000.0,301000.0
1968,10000.0,328675.0,,,181000.0,,427062.0,,,201401.0,122416.0,,20000.0,3568000.0,1748000.0,244156.0,481679.0,20000.0,1932000.0,,,,260.0,,340000.0,,65199.0,743100.0,71400.0,,221800.0,,,,,,480100.0,152000.0,270000.0,,382000.0,3816000.0,304000.0
1969,11000.0,327690.0,,,306000.0,,460449.0,,,237834.0,125816.0,,20000.0,3377000.0,2913000.0,228779.0,818741.0,22000.0,2010000.0,,,,220.0,,475000.0,,53758.0,654300.0,82399.0,,366700.0,,,,,,464800.0,117000.0,530000.0,,447000.0,3473000.0,482853.0
1970,9000.0,308809.0,,,252000.0,,363126.0,,,231665.0,120625.0,,23000.0,3903000.0,1975000.0,234890.0,660829.0,20000.0,2062000.0,,,,234.0,,450000.0,,47993.0,691100.0,88730.0,,175836.0,,,,,,483900.0,145500.0,280000.0,,596015.0,5046000.0,277063.0
1971,10000.0,243658.0,,,280000.0,,343683.0,,,144250.0,115457.0,,25000.0,2967000.0,2309000.0,226059.0,620534.0,13000.0,1697300.0,,,,466.0,,520000.0,,50746.0,563200.0,95120.0,,252700.0,,,,,,657500.0,147900.0,390000.0,,530276.0,5080000.0,326911.0
1972,11000.0,156358.0,,,263500.0,,340336.0,,,95785.0,93334.0,,20000.0,2553000.0,1500000.0,184690.0,709349.0,9100.0,1884100.0,,,,470.0,,400000.0,,49562.0,558500.0,114790.0,,247500.0,,,,,,745200.0,132500.0,260000.0,,375227.0,4712000.0,309084.0
