,Br,Pt,Sp,UK
1961,19962.0,70000.0,385500.0,339000.0
1962,22600.0,58000.0,274500.0,583000.0
1963,23241.0,92000.0,480700.0,545000.0
1964,21158.0,85000.0,321600.0,653000.0
1965,40386.0,96000.0,446800.0,529000.0
1966,23559.0,86533.0,412200.0,370000.0
1967,24785.0,90501.0,378300.0,332000.0
1968,26070.0,71400.0,480100.0,382000.0
1969,28864.0,82399.0,464800.0,447000.0
1970,30850.0,88730.0,483900.0,596015.0
1971,29961.0,95120.0,657500.0,530276.0
1972,30698.0,114790.0,745200.0,375227.0
1973,22265.0,142910.0,1015100.0,490041.0
1974,27340.0,122176.0,1038200.0,396800.0
1975,34192.0,140503.0,1078700.0,374600.0
1976,42348.0,154553.0,1007300.0,363500.0
1977,46125.0,94471.0,730000.0,270000.0
1978,51758.0,117382.0,1072000.0,391200.0
1979,69099.0,107385.0,1161700.0,363000.0
1980,83038.0,127644.0,931100.0,357200.0
1981,109503.0,97000.0,1062600.0,231800.0
1982,190993.0,104800.0,891700.0,363100.0
1983,153540.0,115280.0,1075500.0,311500.0
1984,255773.0,86460.0,1028300.0,346600.0
1985,288649.0,95100.0,1069971.0,305400.0
1986,355803.0,238560.0,817400.0,302600.0
1987,333275.0,249775.0,1043000.0,284672.0
1988,432937.0,241880.0,867600.0,268400.0
1989,477280.0,265782.0,810000.0,447673.0
1990,543515.0,282521.0,656500.0,309059.0
1991,526904.0,263350.0,516800.0,323220.0
1992,599841.0,281033.0,1095400.0,389400.0
1993,698765.0,264122.0,890500.0,355300.0
1994,699935.0,212015.0,773960.0,349800.0
1995,686373.0,234897.0,816000.0,260900.0
1996,700777.0,256712.0,899400.0,223600.0
1997,793585.0,285716.0,983700.0,187000.0
1998,791437.0,160074.0,736000.0,183700.0
1999,937715.0,295000.0,988400.0,246400.0
2000,1153269.0,229794.0,813780.0,208800.0
2001,716030.0,258363.0,917409.0,211800.0
2002,857388.0,300225.0,694822.0,179400.0
2003,841821.0,284971.0,881101.0,143900.0
2004,980203.0,275123.0,690886.0,170400.0
2005,850535.0,250543.0,774210.0,218100.0
2006,863019.0,256618.0,650384.0,269239.0
2007,1115379.0,245471.0,721178.0,243100.0
2008,1124155.0,237011.0,661724.0,242900.0
2009,1222885.0,263146.0,601979.0,229000.0
2010,1279124.0,212902.0,645918.0,235450.0
2011,1338995.0,247229.0,670264.0,239890.0
2012,1339771.0,220761.0,481223.0,203550.0
2013,1231472.0,287314.0,546400.0,398500.0
2014,1378617.0,273721.0,620823.0,451400.0
2015,1264651.0,324994.0,593592.0,459600.0
2016,1055383.0,241611.0,621164.0,481100.0
2017,1307642.0,329371.0,587034.0,535300.0
2018,1203007.0,263960.0,562960.0,505600.0
2019,1222979.0,355700.0,638840.0,456400.0
