,Area,Element,Unit,Year,Value
0,Albania,Area harvested,ha,2017,102.0
1,Albania,Area harvested,ha,2018,111.0
2,Albania,Area harvested,ha,2019,121.0
3,Albania,Yield,hg/ha,2017,498922.0
4,Albania,Yield,hg/ha,2018,395766.0
5,Albania,Yield,hg/ha,2019,435785.0
6,Albania,Production,tonnes,2017,5089.0
7,Albania,Production,tonnes,2018,4393.0
8,Albania,Production,tonnes,2019,5273.0
9,Austria,Area harvested,ha,1961,460.0
10,Austria,Area harvested,ha,1962,460.0
11,Austria,Area harvested,ha,1963,550.0
12,Austria,Area harvested,ha,1964,600.0
13,Austria,Area harvested,ha,1965,600.0
14,Austria,Area harvested,ha,1966,600.0
15,Austria,Area harvested,ha,1967,640.0
16,Austria,Area harvested,ha,1968,640.0
17,Austria,Area harvested,ha,1969,700.0
18,Austria,Area harvested,ha,1970,700.0
19,Austria,Area harvested,ha,1971,670.0
20,Austria,Area harvested,ha,1972,629.0
21,Austria,Area harvested,ha,1973,629.0
22,Austria,Area harvested,ha,1974,629.0
23,Austria,Area harvested,ha,1975,717.0
24,Austria,Area harvested,ha,1976,717.0
25,Austria,Area harvested,ha,1977,883.0
26,Austria,Area harvested,ha,1978,883.0
27,Austria,Area harvested,ha,1979,1048.0
28,Austria,Area harvested,ha,1980,1052.0
29,Austria,Area harvested,ha,1981,1255.0
30,Austria,Area harvested,ha,1982,1255.0
31,Austria,Area harvested,ha,1983,1255.0
32,Austria,Area harvested,ha,1984,1255.0
33,Austria,Area harvested,ha,1985,1256.0
34,Austria,Area harvested,ha,1986,1256.0
35,Austria,Area harvested,ha,1987,1256.0
36,Austria,Area harvested,ha,1988,1256.0
37,Austria,Area harvested,ha,1989,1256.0
38,Austria,Area harvested,ha,1990,1122.0
39,Austria,Area harvested,ha,1991,1068.0
40,Austria,Area harvested,ha,1992,1068.0
41,Austria,Area harvested,ha,1993,1068.0
42,Austria,Area harvested,ha,1994,1068.0
43,Austria,Area harvested,ha,1995,1248.0
44,Austria,Area harvested,ha,1996,1248.0
45,Austria,Area harvested,ha,1997,1499.0
46,Austria,Area harvested,ha,1998,1499.0
47,Austria,Area harvested,ha,1999,1499.0
48,Austria,Area harvested,ha,2000,1499.0
49,Austria,Area harvested,ha,2001,1499.0
50,Austria,Area harvested,ha,2002,1362.0
51,Austria,Area harvested,ha,2003,1362.0
52,Austria,Area harvested,ha,2004,1362.0
53,Austria,Area harvested,ha,2005,1348.0
54,Austria,Area harvested,ha,2006,1348.0
55,Austria,Area harvested,ha,2007,1398.0
56,Austria,Area harvested,ha,2008,1560.0
57,Austria,Area harvested,ha,2009,1528.0
58,Austria,Area harvested,ha,2010,1529.0
59,Austria,Area harvested,ha,2011,1542.0
60,Austria,Area harvested,ha,2012,1267.0
61,Austria,Area harvested,ha,2013,1285.0
62,Austria,Area harvested,ha,2014,1130.0
63,Austria,Area harvested,ha,2015,1144.0
64,Austria,Area harvested,ha,2016,1138.0
65,Austria,Area harvested,ha,2017,1140.0
66,Austria,Area harvested,ha,2018,1210.0
67,Austria,Area harvested,ha,2019,1190.0
68,Austria,Yield,hg/ha,1961,108696.0
69,Austria,Yield,hg/ha,1962,108696.0
70,Austria,Yield,hg/ha,1963,109091.0
71,Austria,Yield,hg/ha,1964,100000.0
72,Austria,Yield,hg/ha,1965,108333.0
73,Austria,Yield,hg/ha,1966,108333.0
74,Austria,Yield,hg/ha,1967,109375.0
75,Austria,Yield,hg/ha,1968,109625.0
76,Austria,Yield,hg/ha,1969,109914.0
77,Austria,Yield,hg/ha,1970,108043.0
78,Austria,Yield,hg/ha,1971,108642.0
79,Austria,Yield,hg/ha,1972,89841.0
80,Austria,Yield,hg/ha,1973,123927.0
81,Austria,Yield,hg/ha,1974,116105.0
82,Austria,Yield,hg/ha,1975,119163.0
83,Austria,Yield,hg/ha,1976,95969.0
84,Austria,Yield,hg/ha,1977,78845.0
85,Austria,Yield,hg/ha,1978,107123.0
86,Austria,Yield,hg/ha,1979,71956.0
87,Austria,Yield,hg/ha,1980,117006.0
88,Austria,Yield,hg/ha,1981,82677.0
89,Austria,Yield,hg/ha,1982,105960.0
90,Austria,Yield,hg/ha,1983,109665.0
91,Austria,Yield,hg/ha,1984,102781.0
92,Austria,Yield,hg/ha,1985,122532.0
93,Austria,Yield,hg/ha,1986,121139.0
94,Austria,Yield,hg/ha,1987,123479.0
95,Austria,Yield,hg/ha,1988,132811.0
96,Austria,Yield,hg/ha,1989,121847.0
97,Austria,Yield,hg/ha,1990,121257.0
98,Austria,Yield,hg/ha,1991,114841.0
99,Austria,Yield,hg/ha,1992,116105.0
100,Austria,Yield,hg/ha,1993,90000.0
101,Austria,Yield,hg/ha,1994,122313.0
102,Austria,Yield,hg/ha,1995,110176.0
103,Austria,Yield,hg/ha,1996,87869.0
104,Austria,Yield,hg/ha,1997,103729.0
105,Austria,Yield,hg/ha,1998,86664.0
106,Austria,Yield,hg/ha,1999,122255.0
107,Austria,Yield,hg/ha,2000,131094.0
108,Austria,Yield,hg/ha,2001,123075.0
109,Austria,Yield,hg/ha,2002,113796.0
110,Austria,Yield,hg/ha,2003,117841.0
111,Austria,Yield,hg/ha,2004,129236.0
112,Austria,Yield,hg/ha,2005,120853.0
113,Austria,Yield,hg/ha,2006,107478.0
114,Austria,Yield,hg/ha,2007,104521.0
115,Austria,Yield,hg/ha,2008,124122.0
116,Austria,Yield,hg/ha,2009,111963.0
117,Austria,Yield,hg/ha,2010,107430.0
118,Austria,Yield,hg/ha,2011,92341.0
119,Austria,Yield,hg/ha,2012,78279.0
120,Austria,Yield,hg/ha,2013,116311.0
121,Austria,Yield,hg/ha,2014,128053.0
122,Austria,Yield,hg/ha,2015,116853.0
123,Austria,Yield,hg/ha,2016,86178.0
124,Austria,Yield,hg/ha,2017,101465.0
125,Austria,Yield,hg/ha,2018,89917.0
126,Austria,Yield,hg/ha,2019,114118.0
127,Austria,Production,tonnes,1961,5000.0
128,Austria,Production,tonnes,1962,5000.0
129,Austria,Production,tonnes,1963,6000.0
130,Austria,Production,tonnes,1964,6000.0
131,Austria,Production,tonnes,1965,6500.0
132,Austria,Production,tonnes,1966,6500.0
133,Austria,Production,tonnes,1967,7000.0
134,Austria,Production,tonnes,1968,7016.0
135,Austria,Production,tonnes,1969,7694.0
136,Austria,Production,tonnes,1970,7563.0
137,Austria,Production,tonnes,1971,7279.0
138,Austria,Production,tonnes,1972,5651.0
139,Austria,Production,tonnes,1973,7795.0
140,Austria,Production,tonnes,1974,7303.0
141,Austria,Production,tonnes,1975,8544.0
142,Austria,Production,tonnes,1976,6881.0
143,Austria,Production,tonnes,1977,6962.0
144,Austria,Production,tonnes,1978,9459.0
145,Austria,Production,tonnes,1979,7541.0
146,Austria,Production,tonnes,1980,12309.0
147,Austria,Production,tonnes,1981,10376.0
148,Austria,Production,tonnes,1982,13298.0
149,Austria,Production,tonnes,1983,13763.0
150,Austria,Production,tonnes,1984,12899.0
151,Austria,Production,tonnes,1985,15390.0
152,Austria,Production,tonnes,1986,15215.0
153,Austria,Production,tonnes,1987,15509.0
154,Austria,Production,tonnes,1988,16681.0
155,Austria,Production,tonnes,1989,15304.0
156,Austria,Production,tonnes,1990,13605.0
157,Austria,Production,tonnes,1991,12265.0
158,Austria,Production,tonnes,1992,12400.0
159,Austria,Production,tonnes,1993,9612.0
160,Austria,Production,tonnes,1994,13063.0
161,Austria,Production,tonnes,1995,13750.0
162,Austria,Production,tonnes,1996,10966.0
163,Austria,Production,tonnes,1997,15549.0
164,Austria,Production,tonnes,1998,12991.0
165,Austria,Production,tonnes,1999,18326.0
166,Austria,Production,tonnes,2000,19651.0
167,Austria,Production,tonnes,2001,18449.0
